類別,建築物名稱,電腦編號,里別,座落,緯度,經度,新計算容量,轄管分局
"一般住宅","和泰耳鼻喉科","FMA00015","崇禮里","新竹市北區崇禮里9鄰中山路296巷1號-B1","24.8022375","120.9610473","103","第一分局"
"一般住宅","大樓","FMA00022","崇禮里","新竹市北區崇禮里6鄰中山路252號B1","24.802684","120.9621669","233","第一分局"
"一般住宅","公寓","FMA00025","潛園里","新竹市北區潛園里1鄰西大路417號B1","24.8038964","120.9640286","34","第一分局"
"一般住宅","公寓","FMA00035","潛園里","新竹市北區潛園里西大路469巷2號B1","24.8049883","120.9630843","145","第一分局"
"一般住宅","公寓","FMA00038","潛園里","新竹市北區潛園里西大路513號B1","24.8059613","120.9623336","72","第一分局"
"一般住宅","鴻澤北大大樓","FMA00042","仁德里","新竹市北區仁德里仁德街50號","24.80673","120.9640636","135","第一分局"
"一般住宅","公寓","FMA00055","仁德里","新竹市北區仁德里長安街99號","24.8072929","120.9648883","135","第一分局"
"一般住宅","中山新貴大樓","FMA00100","石坊里","新竹市北區石坊里中山路163號","24.8030593","120.9634314","402","第一分局"
"一般住宅","中山晶華大樓","FMA00101","石坊里","新竹市北區石坊里中山路153號","24.8032808","120.9636782","675","第一分局"
"供公眾使用建築物","台灣基督長者教會","FMA00105","興南里","新竹市北區興南里勝利路247號B1","24.8026204","120.9631516","124","第一分局"
"一般住宅","附小巧筑社區","FMA00108","興南里","新竹市北區興南里13鄰德成街6-1號B1","24.8009101","120.9643953","1450","第一分局"
"一般住宅","戴珍唯寶公司","FMA00110","興南里","新竹市北區興南里西門街129號B1","24.8012444","120.9632621","108","第一分局"
"供公眾使用建築物","天主堂教會","FMA00111","興南里","新竹市北區興南里西門街165號B1","24.8007805","120.9631403","27","第一分局"
"供公眾使用建築物","仁愛之家","FMA00113","興南里","新竹市北區興南里西門街116號","24.8017248","120.9635931","534","第一分局"
"供公眾使用建築物","學租財團大樓","FMA00119","興南里","新竹市北區興南里5鄰西門街146號","24.8014392","120.9631362","1130","第一分局"
"供公眾使用建築物","新生醫院","FMA00122","興南里","新竹市北區興南里西門街120號","24.8016053","120.9634921","36","第一分局"
"一般住宅","水立方大樓","FMA00128","興南里","新竹市北區興南里中山路239-6號","24.8014621","120.962028","235","第一分局"
"一般住宅","中山福爵大樓","FMA00131","育英里","新竹市北區育英里中山路269號","24.8013112","120.961045","83","第一分局"
"一般住宅","蘭開夏大樓","FMA00133","育英里","新竹市北區育英里四維路63號","24.8004728","120.9610174","857","第一分局"
"一般住宅","上華名門大樓","FMA00137","育英里","新竹市北區育英里3鄰四維路91號","24.8010304","120.9605893","709","第一分局"
"公有建築物","清大附設實驗小學","FMA00146","育英里","新竹市北區育英里17鄰四維路47號B1","24.7997382","120.9616313","312","第一分局"
"一般住宅","公寓","FMA00147","育英里","新竹市北區育英里林森路242號B1","24.7982888","120.9625606","88","第一分局"
"一般住宅","公寓","FMA00150","育英里","新竹市北區育英里林森路248號B1","24.7981961","120.962411","135","第一分局"
"一般住宅","大樓","FMA00152","育英里","新竹市北區育英里林森路278號B1","24.7976748","120.961903","40","第一分局"
"一般住宅","協欣欣座大樓","FMA00154","育英里","新竹市北區育英里林森路302號B1","24.7973867","120.9614164","209","第一分局"
"一般住宅","仁愛中醫","FMA00155","育英里","新竹市北區育英里林森路310號B1","24.7972892","120.9612076","122","第一分局"
"一般住宅","公寓","FMA00156","育英里","新竹市北區育英里西門街201巷24-26號B1","24.7995295","120.9625572","148","第一分局"
"一般住宅","奇公寓達車藝廠","FMA00157","育英里","新竹市北區育英里四維路58號","24.7990634","120.962502","153","第一分局"
